Age,Year,Incidence,Sex
0,1970,0,m
5,1970,0,m
10,1970,0,m
15,1970,0,m
20,1970,0,m
25,1970,0,m
30,1970,0,m
35,1970,0,m
40,1970,0,m
45,1970,0,m
50,1970,0,m
55,1970,0,m
60,1970,0,m
65,1970,0,m
70,1970,0,m
75,1970,0,m
80,1970,0,m
0,1971,0,m
5,1971,0,m
10,1971,0,m
15,1971,0,m
20,1971,0,m
25,1971,0,m
30,1971,0,m
35,1971,0,m
40,1971,0,m
45,1971,0,m
50,1971,0,m
55,1971,0,m
60,1971,0,m
65,1971,0,m
70,1971,0,m
75,1971,0,m
80,1971,0,m
0,1972,0,m
5,1972,0,m
10,1972,0,m
15,1972,0,m
20,1972,0,m
25,1972,0,m
30,1972,0,m
35,1972,0,m
40,1972,0,m
45,1972,0,m
50,1972,0,m
55,1972,0,m
60,1972,0,m
65,1972,0,m
70,1972,0,m
75,1972,0,m
80,1972,0,m
0,1973,0,m
5,1973,0,m
10,1973,0,m
15,1973,0,m
20,1973,0,m
25,1973,0,m
30,1973,0,m
35,1973,0,m
40,1973,0,m
45,1973,0,m
50,1973,0,m
55,1973,0,m
60,1973,0,m
65,1973,0,m
70,1973,0,m
75,1973,0,m
80,1973,0,m
0,1974,0,m
5,1974,0,m
10,1974,0,m
15,1974,0,m
20,1974,0,m
25,1974,0,m
30,1974,0,m
35,1974,0,m
40,1974,0,m
45,1974,0,m
50,1974,0,m
55,1974,0,m
60,1974,0,m
65,1974,0,m
70,1974,0,m
75,1974,0,m
80,1974,0,m
0,1975,0,m
5,1975,0,m
10,1975,0,m
15,1975,0,m
20,1975,0,m
25,1975,0,m
30,1975,0,m
35,1975,0,m
40,1975,0,m
45,1975,0,m
50,1975,0,m
55,1975,0,m
60,1975,0,m
65,1975,0,m
70,1975,0,m
75,1975,0,m
80,1975,0,m
0,1976,3.67E-04,m
5,1976,0,m
10,1976,0,m
15,1976,0.00167251,m
20,1976,0.00455334,m
25,1976,0.00620402,m
30,1976,0.00662077,m
35,1976,0.00627141,m
40,1976,0.00564806,m
45,1976,0.00491035,m
50,1976,0.00420809,m
55,1976,0.00356185,m
60,1976,0.00301893,m
65,1976,0.00253748,m
70,1976,0.00215017,m
75,1976,0.00181124,m
80,1976,0,m
0,1977,3.91E-04,m
5,1977,0,m
10,1977,0,m
15,1977,0.00110074,m
20,1977,0.00299643,m
25,1977,0.00408872,m
30,1977,0.00435557,m
35,1977,0.0041245,m
40,1977,0.00371882,m
45,1977,0.00322932,m
50,1977,0.00277051,m
55,1977,0.00234137,m
60,1977,0.00198616,m
65,1977,0.00166696,m
70,1977,0.001416,m
75,1977,0.00118809,m
80,1977,0,m
0,1978,6.79E-04,m
5,1978,0,m
10,1978,0,m
15,1978,0.00165956,m
20,1978,0.00451639,m
25,1978,0.00619869,m
30,1978,0.00653276,m
35,1978,0.00622031,m
40,1978,0.00560266,m
45,1978,0.00486767,m
50,1978,0.00417501,m
55,1978,0.00352884,m
60,1978,0.00299129,m
65,1978,0.0025108,m
70,1978,0.002132,m
75,1978,0.00179096,m
80,1978,0,m
0,1979,0.00116147,m
5,1979,0,m
10,1979,0,m
15,1979,0.00252463,m
20,1979,0.00686702,m
25,1979,0.00943204,m
30,1979,0.00994598,m
35,1979,0.00947635,m
40,1979,0.00850468,m
45,1979,0.00740624,m
50,1979,0.00634288,m
55,1979,0.00537208,m
60,1979,0.00454317,m
65,1979,0.00381927,m
70,1979,0.00323395,m
75,1979,0.00273253,m
80,1979,0,m
0,1980,0.00197387,m
5,1980,0,m
10,1980,0,m
15,1980,0.00382898,m
20,1980,0.0104,m
25,1980,0.0143,m
30,1980,0.0151,m
35,1980,0.0144,m
40,1980,0.0129,m
45,1980,0.0112,m
50,1980,0.00960989,m
55,1980,0.00814868,m
60,1980,0.00688197,m
65,1980,0.0057904,m
70,1980,0.00489699,m
75,1980,0.00414593,m
80,1980,0,m
0,1981,0.00332416,m
5,1981,0,m
10,1981,0,m
15,1981,0.00582652,m
20,1981,0.0158,m
25,1981,0.0217,m
30,1981,0.023,m
35,1981,0.0219,m
40,1981,0.0195,m
45,1981,0.0171,m
50,1981,0.0146,m
55,1981,0.0124,m
60,1981,0.0105,m
65,1981,0.00881869,m
70,1981,0.00744326,m
75,1981,0.00632385,m
80,1981,0,m
0,1982,0.00554039,m
5,1982,0,m
10,1982,0,m
15,1982,0.0088264,m
20,1982,0.0239,m
25,1982,0.0328,m
30,1982,0.0348,m
35,1982,0.033,m
40,1982,0.0296,m
45,1982,0.0259,m
50,1982,0.0221,m
55,1982,0.0188,m
60,1982,0.0158,m
65,1982,0.0134,m
70,1982,0.0113,m
75,1982,0.00959723,m
80,1982,0,m
0,1983,0.00897975,m
5,1983,0,m
10,1983,0,m
15,1983,0.0131,m
20,1983,0.0353,m
25,1983,0.0486,m
30,1983,0.0519,m
35,1983,0.0487,m
40,1983,0.0438,m
45,1983,0.0383,m
50,1983,0.0327,m
55,1983,0.0278,m
60,1983,0.0234,m
65,1983,0.0198,m
70,1983,0.0166,m
75,1983,0.0142,m
80,1983,0,m
0,1984,0.0142,m
5,1984,0,m
10,1984,0,m
15,1984,0.0192,m
20,1984,0.0519,m
25,1984,0.0715,m
30,1984,0.0764,m
35,1984,0.0717,m
40,1984,0.0645,m
45,1984,0.0562,m
50,1984,0.0481,m
55,1984,0.0408,m
60,1984,0.0344,m
65,1984,0.029,m
70,1984,0.0244,m
75,1984,0.0207,m
80,1984,0,m
0,1985,0.0218,m
5,1985,0,m
10,1985,0,m
15,1985,0.0274,m
20,1985,0.0742,m
25,1985,0.1022,m
30,1985,0.1093,m
35,1985,0.1029,m
40,1985,0.0925,m
45,1985,0.0802,m
50,1985,0.0688,m
55,1985,0.0583,m
60,1985,0.0492,m
65,1985,0.0414,m
70,1985,0.0349,m
75,1985,0.0296,m
80,1985,0,m
0,1986,0.0326,m
5,1986,0,m
10,1986,0,m
15,1986,0.0386,m
20,1986,0.1044,m
25,1986,0.1438,m
30,1986,0.154,m
35,1986,0.1451,m
40,1986,0.1304,m
45,1986,0.1129,m
50,1986,0.097,m
55,1986,0.0821,m
60,1986,0.0694,m
65,1986,0.0582,m
70,1986,0.0492,m
75,1986,0.0416,m
80,1986,0,m
0,1987,0.0456,m
5,1987,0,m
10,1987,0,m
15,1987,0.05,m
20,1987,0.1354,m
25,1987,0.1865,m
30,1987,0.2001,m
35,1987,0.1891,m
40,1987,0.1693,m
45,1987,0.1464,m
50,1987,0.1259,m
55,1987,0.1064,m
60,1987,0.09,m
65,1987,0.0753,m
70,1987,0.0637,m
75,1987,0.0538,m
80,1987,0,m
0,1988,0.0608,m
5,1988,0,m
10,1988,0,m
15,1988,0.0619,m
20,1988,0.1676,m
25,1988,0.2307,m
30,1988,0.2478,m
35,1988,0.2359,m
40,1988,0.2082,m
45,1988,0.1814,m
50,1988,0.1557,m
55,1988,0.1316,m
60,1988,0.1113,m
65,1988,0.0931,m
70,1988,0.0787,m
75,1988,0.0665,m
80,1988,0,m
0,1989,0.0773,m
5,1989,0,m
10,1989,0,m
15,1989,0.0726,m
20,1989,0.1969,m
25,1989,0.2707,m
30,1989,0.291,m
35,1989,0.2774,m
40,1989,0.2448,m
45,1989,0.2134,m
50,1989,0.1823,m
55,1989,0.1545,m
60,1989,0.1304,m
65,1989,0.1092,m
70,1989,0.0922,m
75,1989,0.0779,m
80,1989,0,m
0,1990,0.0914,m
5,1990,0,m
10,1990,0,m
15,1990,0.0779,m
20,1990,0.2115,m
25,1990,0.2903,m
30,1990,0.3122,m
35,1990,0.2977,m
40,1990,0.2636,m
45,1990,0.2294,m
50,1990,0.1954,m
55,1990,0.1657,m
60,1990,0.1398,m
65,1990,0.1171,m
70,1990,0.0987,m
75,1990,0.0836,m
80,1990,0,m
0,1991,0.1036,m
5,1991,0,m
10,1991,0,m
15,1991,0.079,m
20,1991,0.2147,m
25,1991,0.2946,m
30,1991,0.3166,m
35,1991,0.3025,m
40,1991,0.2681,m
45,1991,0.233,m
50,1991,0.198,m
55,1991,0.1683,m
60,1991,0.1416,m
65,1991,0.1188,m
70,1991,0.0999,m
75,1991,0.0847,m
80,1991,0,m
0,1992,0.1127,m
5,1992,0,m
10,1992,0,m
15,1992,0.0765,m
20,1992,0.2083,m
25,1992,0.2856,m
30,1992,0.3067,m
35,1992,0.2933,m
40,1992,0.2609,m
45,1992,0.2259,m
50,1992,0.1918,m
55,1992,0.1632,m
60,1992,0.1372,m
65,1992,0.1151,m
70,1992,0.0967,m
75,1992,0.0821,m
80,1992,0,m
0,1993,0.1188,m
5,1993,0,m
10,1993,0,m
15,1993,0.0716,m
20,1993,0.1949,m
25,1993,0.2674,m
30,1993,0.2865,m
35,1993,0.2744,m
40,1993,0.246,m
45,1993,0.2098,m
50,1993,0.1795,m
55,1993,0.1526,m
60,1993,0.1283,m
65,1993,0.1076,m
70,1993,0.0904,m
75,1993,0.0767,m
80,1993,0,m
0,1994,0.1235,m
5,1994,0,m
10,1994,0,m
15,1994,0.0673,m
20,1994,0.1831,m
25,1994,0.2515,m
30,1994,0.2689,m
35,1994,0.2578,m
40,1994,0.2315,m
45,1994,0.1974,m
50,1994,0.1691,m
55,1994,0.1431,m
60,1994,0.1207,m
65,1994,0.101,m
70,1994,0.085,m
75,1994,0.072,m
80,1994,0,m
0,1995,0.1239,m
5,1995,0,m
10,1995,0,m
15,1995,0.0593,m
20,1995,0.1612,m
25,1995,0.2217,m
30,1995,0.2366,m
35,1995,0.2269,m
40,1995,0.2039,m
45,1995,0.1745,m
50,1995,0.1492,m
55,1995,0.1258,m
60,1995,0.1062,m
65,1995,0.0888,m
70,1995,0.0748,m
75,1995,0.0633,m
80,1995,0,m
0,1996,0.1231,m
5,1996,0,m
10,1996,0,m
15,1996,0.0546,m
20,1996,0.1483,m
25,1996,0.2042,m
30,1996,0.2176,m
35,1996,0.2087,m
40,1996,0.1879,m
45,1996,0.161,m
50,1996,0.1376,m
55,1996,0.1157,m
60,1996,0.0979,m
65,1996,0.0818,m
70,1996,0.069,m
75,1996,0.0583,m
80,1996,0,m
0,1997,0.121,m
5,1997,0,m
10,1997,0,m
15,1997,0.05,m
20,1997,0.1355,m
25,1997,0.1867,m
30,1997,0.1988,m
35,1997,0.1905,m
40,1997,0.1719,m
45,1997,0.1479,m
50,1997,0.1258,m
55,1997,0.1058,m
60,1997,0.0897,m
65,1997,0.0749,m
70,1997,0.0632,m
75,1997,0.0533,m
80,1997,0,m
0,1998,0.1184,m
5,1998,0,m
10,1998,0,m
15,1998,0.0467,m
20,1998,0.1266,m
25,1998,0.1746,m
30,1998,0.1861,m
35,1998,0.1779,m
40,1998,0.1608,m
45,1998,0.1395,m
50,1998,0.1168,m
55,1998,0.099,m
60,1998,0.0838,m
65,1998,0.07,m
70,1998,0.059,m
75,1998,0.0498,m
80,1998,0,m
0,1999,0.1155,m
5,1999,0,m
10,1999,0,m
15,1999,0.0444,m
20,1999,0.1205,m
25,1999,0.166,m
30,1999,0.1773,m
35,1999,0.1691,m
40,1999,0.1531,m
45,1999,0.1331,m
50,1999,0.1114,m
55,1999,0.0946,m
60,1999,0.0797,m
65,1999,0.0668,m
70,1999,0.0562,m
75,1999,0.0475,m
80,1999,0,m
0,2000,0.1119,m
5,2000,0,m
10,2000,0,m
15,2000,0.0419,m
20,2000,0.1132,m
25,2000,0.1561,m
30,2000,0.167,m
35,2000,0.159,m
40,2000,0.144,m
45,2000,0.1253,m
50,2000,0.1053,m
55,2000,0.0893,m
60,2000,0.075,m
65,2000,0.063,m
70,2000,0.053,m
75,2000,0.0448,m
80,2000,0,m
0,2001,0.1082,m
5,2001,0,m
10,2001,0,m
15,2001,0.0404,m
20,2001,0.1089,m
25,2001,0.1499,m
30,2001,0.1607,m
35,2001,0.1528,m
40,2001,0.1385,m
45,2001,0.1208,m
50,2001,0.1017,m
55,2001,0.0862,m
60,2001,0.0722,m
65,2001,0.061,m
70,2001,0.0512,m
75,2001,0.0433,m
80,2001,0,m
0,2002,0.1045,m
5,2002,0,m
10,2002,0,m
15,2002,0.0382,m
20,2002,0.1029,m
25,2002,0.1418,m
30,2002,0.1523,m
35,2002,0.1447,m
40,2002,0.131,m
45,2002,0.1144,m
50,2002,0.0967,m
55,2002,0.0815,m
60,2002,0.0682,m
65,2002,0.0577,m
70,2002,0.0483,m
75,2002,0.0408,m
80,2002,0,m
0,2003,0.1003,m
5,2003,0,m
10,2003,0,m
15,2003,0.0365,m
20,2003,0.0981,m
25,2003,0.1349,m
30,2003,0.1451,m
35,2003,0.138,m
40,2003,0.1247,m
45,2003,0.1092,m
50,2003,0.0931,m
55,2003,0.0772,m
60,2003,0.0652,m
65,2003,0.0552,m
70,2003,0.0462,m
75,2003,0.039,m
80,2003,0,m
0,2004,0.0896,m
5,2004,0,m
10,2004,0,m
15,2004,0.0342,m
20,2004,0.0919,m
25,2004,0.1265,m
30,2004,0.1361,m
35,2004,0.1297,m
40,2004,0.1168,m
45,2004,0.1024,m
50,2004,0.0875,m
55,2004,0.0725,m
60,2004,0.0613,m
65,2004,0.0516,m
70,2004,0.0433,m
75,2004,0.0365,m
80,2004,0,m
0,2005,0.0754,m
5,2005,0,m
10,2005,0,m
15,2005,0.0328,m
20,2005,0.0881,m
25,2005,0.1207,m
30,2005,0.1302,m
35,2005,0.1243,m
40,2005,0.1117,m
45,2005,0.098,m
50,2005,0.0838,m
55,2005,0.0698,m
60,2005,0.0589,m
65,2005,0.0495,m
70,2005,0.0417,m
75,2005,0.035,m
80,2005,0,m
0,2006,0.0662,m
5,2006,0,m
10,2006,0,m
15,2006,0.0308,m
20,2006,0.0827,m
25,2006,0.1134,m
30,2006,0.1223,m
35,2006,0.117,m
40,2006,0.1049,m
45,2006,0.0921,m
50,2006,0.0789,m
55,2006,0.0658,m
60,2006,0.0555,m
65,2006,0.0465,m
70,2006,0.0392,m
75,2006,0.0329,m
80,2006,0,m
0,2007,0.0609,m
5,2007,0,m
10,2007,0,m
15,2007,0.029,m
20,2007,0.0777,m
25,2007,0.1064,m
30,2007,0.1147,m
35,2007,0.1099,m
40,2007,0.0985,m
45,2007,0.0864,m
50,2007,0.0742,m
55,2007,0.0621,m
60,2007,0.0522,m
65,2007,0.0438,m
70,2007,0.0371,m
75,2007,0.031,m
80,2007,0,m
0,2008,0.048,m
5,2008,0,m
10,2008,0,m
15,2008,0.0249,m
20,2008,0.0714,m
25,2008,0.0978,m
30,2008,0.1039,m
35,2008,0.0982,m
40,2008,0.0868,m
45,2008,0.075,m
50,2008,0.0639,m
55,2008,0.0535,m
60,2008,0.0438,m
65,2008,0.0369,m
70,2008,0.0309,m
75,2008,0.0257,m
80,2008,0,m
0,2009,0.0428,m
5,2009,0,m
10,2009,0,m
15,2009,0.0231,m
20,2009,0.0712,m
25,2009,0.0977,m
30,2009,0.1023,m
35,2009,0.0953,m
40,2009,0.0832,m
45,2009,0.0707,m
50,2009,0.0596,m
55,2009,0.0494,m
60,2009,0.0401,m
65,2009,0.0335,m
70,2009,0.0278,m
75,2009,0.023,m
80,2009,0,m
0,2010,0.041,m
5,2010,0,m
10,2010,0,m
15,2010,0.0225,m
20,2010,0.075,m
25,2010,0.103,m
30,2010,0.1062,m
35,2010,0.0976,m
40,2010,0.0839,m
45,2010,0.07,m
50,2010,0.0583,m
55,2010,0.0478,m
60,2010,0.0385,m
65,2010,0.0318,m
70,2010,0.026,m
75,2010,0.0214,m
80,2010,0,m
0,2011,0.0389,m
5,2011,0,m
10,2011,0,m
15,2011,0.0206,m
20,2011,0.0746,m
25,2011,0.1024,m
30,2011,0.1041,m
35,2011,0.0941,m
40,2011,0.0797,m
45,2011,0.0653,m
50,2011,0.0535,m
55,2011,0.0433,m
60,2011,0.0345,m
65,2011,0.028,m
70,2011,0.0226,m
75,2011,0.0184,m
80,2011,0,m
0,2012,0.0371,m
5,2012,0,m
10,2012,0,m
15,2012,0.0191,m
20,2012,0.0756,m
25,2012,0.1037,m
30,2012,0.1041,m
35,2012,0.0924,m
40,2012,0.077,m
45,2012,0.0618,m
50,2012,0.0496,m
55,2012,0.0396,m
60,2012,0.0311,m
65,2012,0.0247,m
70,2012,0.0196,m
75,2012,0.0158,m
80,2012,0,m
0,2013,0.0328,m
5,2013,0,m
10,2013,0,m
15,2013,0.0173,m
20,2013,0.0758,m
25,2013,0.1037,m
30,2013,0.1027,m
35,2013,0.0895,m
40,2013,0.0731,m
45,2013,0.0576,m
50,2013,0.0451,m
55,2013,0.0353,m
60,2013,0.0273,m
65,2013,0.0209,m
70,2013,0.0164,m
75,2013,0.0129,m
80,2013,0,m
0,2014,0.0303,m
5,2014,0,m
10,2014,0,m
15,2014,0.0157,m
20,2014,0.0704,m
25,2014,0.0985,m
30,2014,0.0989,m
35,2014,0.0867,m
40,2014,0.0712,m
45,2014,0.0562,m
50,2014,0.0438,m
55,2014,0.0342,m
60,2014,0.0264,m
65,2014,0.0201,m
70,2014,0.0157,m
75,2014,0.0123,m
80,2014,0,m
0,2015,0.0326,m
5,2015,0,m
10,2015,0,m
15,2015,0.014,m
20,2015,0.0641,m
25,2015,0.0916,m
30,2015,0.0934,m
35,2015,0.0822,m
40,2015,0.0679,m
45,2015,0.0536,m
50,2015,0.0416,m
55,2015,0.0324,m
60,2015,0.025,m
65,2015,0.019,m
70,2015,0.0148,m
75,2015,0.0114,m
80,2015,0,m
0,2016,0.0304,m
5,2016,0,m
10,2016,0,m
15,2016,0.0127,m
20,2016,0.0595,m
25,2016,0.0871,m
30,2016,0.0898,m
35,2016,0.0797,m
40,2016,0.066,m
45,2016,0.0522,m
50,2016,0.0404,m
55,2016,0.0313,m
60,2016,0.0241,m
65,2016,0.0183,m
70,2016,0.0141,m
75,2016,0.0108,m
80,2016,0,m
0,2017,0.0273,m
5,2017,0,m
10,2017,0,m
15,2017,0.0147,m
20,2017,0.0626,m
25,2017,0.0876,m
30,2017,0.0884,m
35,2017,0.078,m
40,2017,0.0647,m
45,2017,0.0517,m
50,2017,0.0402,m
55,2017,0.0315,m
60,2017,0.0246,m
65,2017,0.019,m
70,2017,0.0148,m
75,2017,0.0115,m
80,2017,0,m
0,2018,0.0275,m
5,2018,0,m
10,2018,0,m
15,2018,0.0152,m
20,2018,0.0599,m
25,2018,0.0803,m
30,2018,0.0793,m
35,2018,0.0696,m
40,2018,0.0578,m
45,2018,0.0465,m
50,2018,0.0366,m
55,2018,0.0289,m
60,2018,0.0229,m
65,2018,0.018,m
70,2018,0.014,m
75,2018,0.0112,m
80,2018,0,m
0,2019,0.0215,m
5,2019,0,m
10,2019,0,m
15,2019,0.0118,m
20,2019,0.0478,m
25,2019,0.0631,m
30,2019,0.0616,m
35,2019,0.0539,m
40,2019,0.0448,m
45,2019,0.0362,m
50,2019,0.0288,m
55,2019,0.0228,m
60,2019,0.0182,m
65,2019,0.0145,m
70,2019,0.0114,m
75,2019,0.00918611,m
80,2019,0,m
0,2020,0.017,m
5,2020,0,m
10,2020,0,m
15,2020,0.00845068,m
20,2020,0.0356,m
25,2020,0.0462,m
30,2020,0.0446,m
35,2020,0.0389,m
40,2020,0.0323,m
45,2020,0.0263,m
50,2020,0.021,m
55,2020,0.0168,m
60,2020,0.0135,m
65,2020,0.0108,m
70,2020,0.00859467,m
75,2020,0.0069901,m
80,2020,0,m
0,2021,0.0152,m
5,2021,0,m
10,2021,0,m
15,2021,0.00624429,m
20,2021,0.0272,m
25,2021,0.0347,m
30,2021,0.0332,m
35,2021,0.0288,m
40,2021,0.024,m
45,2021,0.0196,m
50,2021,0.0158,m
55,2021,0.0127,m
60,2021,0.0103,m
65,2021,0.00831855,m
70,2021,0.00665552,m
75,2021,0.00544265,m
80,2021,0,m
0,2022,0.014,m
5,2022,0,m
10,2022,0,m
15,2022,0.00501602,m
20,2022,0.0219,m
25,2022,0.0279,m
30,2022,0.0266,m
35,2022,0.0231,m
40,2022,0.0192,m
45,2022,0.0157,m
50,2022,0.0127,m
55,2022,0.0102,m
60,2022,0.00823672,m
65,2022,0.00668789,m
70,2022,0.00537562,m
75,2022,0.00437168,m
80,2022,0,m
0,2023,0.0103,m
5,2023,0,m
10,2023,0,m
15,2023,0.00365583,m
20,2023,0.0159,m
25,2023,0.0203,m
30,2023,0.0194,m
35,2023,0.0167,m
40,2023,0.014,m
45,2023,0.0114,m
50,2023,0.00923647,m
55,2023,0.00739994,m
60,2023,0.00598659,m
65,2023,0.00487459,m
70,2023,0.00395267,m
75,2023,0.00316404,m
80,2023,0,m
0,2024,0.00607561,m
5,2024,0,m
10,2024,0,m
15,2024,0.0038577,m
20,2024,0.0167,m
25,2024,0.0213,m
30,2024,0.0204,m
35,2024,0.0176,m
40,2024,0.0147,m
45,2024,0.012,m
50,2024,0.0097326,m
55,2024,0.00781789,m
60,2024,0.00630847,m
65,2024,0.0051485,m
70,2024,0.00418725,m
75,2024,0.00335761,m
80,2024,0,m
0,2025,0.00611147,m
5,2025,0,m
10,2025,0,m
15,2025,0.00413214,m
20,2025,0.0179,m
25,2025,0.0228,m
30,2025,0.0219,m
35,2025,0.0188,m
40,2025,0.0157,m
45,2025,0.0128,m
50,2025,0.0104,m
55,2025,0.00838927,m
60,2025,0.00675363,m
65,2025,0.00551893,m
70,2025,0.00449936,m
75,2025,0.00362694,m
80,2025,0,m
0,2026,0.00580256,m
5,2026,0,m
10,2026,0,m
15,2026,0.00396265,m
20,2026,0.0172,m
25,2026,0.0219,m
30,2026,0.021,m
35,2026,0.0181,m
40,2026,0.015,m
45,2026,0.0123,m
50,2026,0.0099878,m
55,2026,0.00805243,m
60,2026,0.00647207,m
65,2026,0.00528603,m
70,2026,0.00432033,m
75,2026,0.00349026,m
80,2026,0,m
0,2027,0.00542409,m
5,2027,0,m
10,2027,0,m
15,2027,0.00369387,m
20,2027,0.016,m
25,2027,0.0204,m
30,2027,0.0195,m
35,2027,0.0168,m
40,2027,0.014,m
45,2027,0.0114,m
50,2027,0.0092795,m
55,2027,0.00749566,m
60,2027,0.00601969,m
65,2027,0.00490924,m
70,2027,0.00402001,m
75,2027,0.00326313,m
80,2027,0,m
0,2028,0.00505419,m
5,2028,0,m
10,2028,0,m
15,2028,0.00346252,m
20,2028,0.015,m
25,2028,0.0191,m
30,2028,0.0182,m
35,2028,0.0157,m
40,2028,0.013,m
45,2028,0.0107,m
50,2028,0.00867195,m
55,2028,0.00701623,m
60,2028,0.00563982,m
65,2028,0.00458723,m
70,2028,0.00376271,m
75,2028,0.0030764,m
80,2028,0,m
0,2029,0.00461234,m
5,2029,0,m
10,2029,0,m
15,2029,0.00312098,m
20,2029,0.0134,m
25,2029,0.0172,m
30,2029,0.0164,m
35,2029,0.0142,m
40,2029,0.0117,m
45,2029,0.0095876,m
50,2029,0.00778754,m
55,2029,0.00630861,m
60,2029,0.00508236,m
65,2029,0.00412044,m
70,2029,0.00338402,m
75,2029,0.0027723,m
80,2029,0,m
0,2030,0.0043136,m
5,2030,0,m
10,2030,0,m
15,2030,0.00293081,m
20,2030,0.0126,m
25,2030,0.0161,m
30,2030,0.0154,m
35,2030,0.0133,m
40,2030,0.011,m
45,2030,0.00898718,m
50,2030,0.00728085,m
55,2030,0.00591697,m
60,2030,0.0047746,m
65,2030,0.00385982,m
70,2030,0.00317111,m
75,2030,0.0026019,m
